,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
GLTA2,0.20817562452687358,4.7182466662784595e-29,4.1790283840606747e+73,0.0012394939206590216,0.0021548151543505888
CITE,0.00757002271006813,4.7182466662784595e-29,1.338063568855761e-06,0.0001485700076502076,8.025614797311944e-06
ACN2,0.11279333838001514,4.7182466662784595e-29,4.112842490875343e+24,0.0003939646583922562,0.0007311770769533536
ACN1,0.2210446631339894,4.7182466662784595e-29,0.0,0.0001485700076502076,3.826728696023438e-05
KGD1,0.01968205904617714,4.7182466662784595e-29,1158.2181333059334,0.000355643034821347,2.777143486016619e-06
KGD2,0.4912944738834216,4.7182466662784595e-29,7.934498600385431e+96,0.003121110062210322,8.47419730557815e-05
COBM,0.003785011355034065,4.7182466662784595e-29,0.0,0.00020318067848444331,1.581050076623896e-07
COBS,0.1680545041635125,4.7182466662784595e-29,3.3073800747561156e-06,0.00016998919170855582,5.534600045575002e-05
THIE,0.09386828160484481,4.7182466662784595e-29,8.060900924925245e+60,0.0006786834097092578,2.3467104765957426e-06
THIG,0.26419379258137776,4.7182466662784595e-29,3.593278193960786e+72,0.0004865731174088997,0.001506432045050531
THIC,0.3414080242240727,4.7182466662784595e-29,5.532394330062398e+69,0.0008983102605841208,5.6629222260076544e-05
PCOA,0.3785011355034065,4.7182466662784595e-29,6.198596621010239e+93,0.0007211401926513209,6.098999143328614e-05
AACE,0.008327024981074942,4.7182466662784595e-29,0.0,0.00012024326172166893,2.079121065568843e-06
MPET,0.02195306585919758,4.7182466662784595e-29,14881601209099.77,0.0003062768120141821,4.209735021013391e-06
BIOF,0.07494322482967448,4.7182466662784595e-29,3.3803183589035174e+31,0.00017370036980551037,1.4629791362032175e-05
FBIB,0.004542013626040878,9.46561831197862e-31,0.0,0.0001788351286636254,0.0
FBIA2,0.03936411809235428,4.9069765329295974e-29,0.0,0.0005912765826532794,0.0
FBIA1,0.03936411809235428,4.9069765329295974e-29,0.0,0.000604806543564792,0.0
APRO,0.1453444360333081,4.7182466662784595e-29,6.2246852414572845e+99,0.0006828842618410088,1.8407570895539923e-05
