,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,information_centrality,load_centrality
HADA4,0.32778198334595005,0.5721091381550455,1.2622101819061238e-05,0.000952817554518281,0.03843152437098206,0.0061285134456319215,1.2516302695092241e-05
HADA5,0.32778198334595005,0.5721091381550455,1.2625820283535909e-05,0.0009528168736651351,0.038431493423540825,0.006128513440059974,1.2520130003222826e-05
HADA6,0.32626797880393643,0.5716140199048031,7.85276684318974e-06,0.0009487614743712211,0.03831899078303746,0.006127978241080163,7.786801271415417e-06
HADA7,0.32626797880393643,0.5716140199048031,7.856545839269899e-06,0.0009487618730313281,0.038318929476543244,0.006127978237655588,7.790707052147426e-06
PPM1,0.024224072672218017,0.4510071696824855,0.00013567079375108228,0.00030966991499030796,0.0008383500115595884,0.004922172102469199,0.00020817049157841055
HADA19,0.32626797880393643,0.5716140199048031,7.856545839269895e-06,0.0009487618505294642,0.038318929809991784,0.006127978237617797,7.79070705214742e-06
HADA21,0.32626797880393643,0.5716140199048031,7.858961730790258e-06,0.0009487614794884291,0.03831889311565168,0.0061279782310112215,7.79311235424544e-06
FAS29,0.23467070401211204,0.5279776179056754,1.692457352786995e-05,0.000744383473823722,0.019991488001465958,0.00608295409748449,1.676993357384271e-05
INHA4,0.23618470855412566,0.5284,4.04629917573811e-05,0.0007495414387528259,0.020028831623652148,0.006083974294244628,4.0602527861461486e-05
INHA5,0.23542770628311885,0.5281887245101959,2.2874467973950147e-05,0.0007468929323042961,0.020013657708304333,0.0060834661187169434,2.270407465548943e-05
INHA6,0.23542770628311885,0.5281887245101959,2.292987828329461e-05,0.0007468936916142549,0.020013397539682915,0.006083466125361954,2.2759728969702175e-05
INHA7,0.23467070401211204,0.5279776179056754,1.9047774012837e-05,0.0007446399250003261,0.01998334180637736,0.006082955015707547,1.882352818010499e-05
INHA1,0.2376987130961393,0.5288230584467574,8.059208702047008e-05,0.0007571885565017418,0.02004215830792009,0.006084973892146789,8.185856889219286e-05
INHA2,0.23618470855412566,0.5284,4.05349937338233e-05,0.0007495413626138725,0.020028701087842493,0.006083974325259221,4.068062391558121e-05
INHA3,0.23618470855412566,0.5284,4.05175933493515e-05,0.000749541687805424,0.02002860112781424,0.006083974309424484,4.065701455666298e-05
FADD321,0.47464042392127176,0.6305489260143198,0.001972961549764502,0.0014280527557177754,0.045028830007487086,0.006164276475599775,0.001968026988662664
INHA8,0.23467070401211204,0.5279776179056754,1.9047774012837e-05,0.0007446399250003338,0.019983341806376835,0.00608295501570754,1.8823528180104985e-05
