,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,information_centrality,load_centrality
PC6YM,0.13893129770992366,0.4924812030075188,0.0012204383593725104,0.000700420459780617,0.008045493952019232,0.006120941510336023,0.0013263752045398899
PPSD3,0.6068702290076335,0.6953290870488322,0.002991724633866147,0.0017928390627221689,0.05200781118151834,0.006339942724238443,0.002919721798804727
PHBADB,0.029770992366412213,0.45549374130737136,5.0288292504381566e-05,0.00032619042939354174,0.0011065392773151107,0.0052364068083213386,6.94581398245376e-05
PPSD1,0.6068702290076335,0.6953290870488322,0.002991724633866147,0.0017928390627221689,0.05200781118151834,0.0063399427242384525,0.002919721798804727
PHBADC,0.025954198473282442,0.4551772063933287,0.00012677887206048865,0.00031798337989100606,0.0008309923837964747,0.005097185160139402,0.00020224263877116402
PAPA1,0.13893129770992366,0.4897196261682243,0.0,0.0004992831370469455,0.01217870043812987,0.006123626379465382,0.0
FAS70,0.14045801526717558,0.4904530138524897,1.6419375112174575e-05,0.0005057029681928546,0.012225471844528917,0.006126551965383468,1.7089765008920827e-05
FBPA,0.004580152671755725,0.4290861447756305,7.2967628367782924e-06,0.00015654776730550146,0.00036088612173811155,0.002598993871287081,5.425489255601034e-05
GLCGSD,0.3297709923664122,0.5735551663747811,0.00038941902201001567,0.0009981156193962068,0.038446772123582745,0.006284573981109342,0.00037810974368260265
CITabc,0.4404580152671756,0.6167608286252354,0.0013633539961603637,0.0013338130892410613,0.04497740054274083,0.006314894454029529,0.001307890256698874
ECHA193,0.3267175572519084,0.5723023154215815,0.00013972916715819606,0.0009632989033374948,0.03835458850404512,0.006283460469536288,0.0001389967226307661
GALUi,0.08931297709923663,0.48518518518518516,0.00036007475756325317,0.000449973842336212,0.0065599334160362805,0.00597512616430885,0.00038841995408788913
PHBADA,0.007633587786259542,0.4149509027557808,1.3463081378767924e-05,0.00017000564771666883,0.0003571579615499338,0.003445373939112424,3.720932010079004e-05
4ABUTabc,0.4404580152671756,0.6167608286252354,0.001198727686584604,0.001336851979122878,0.0449988192311461,0.006314887219013881,0.001186298099734224
PROabc_rev,0.44122137404580153,0.6170513424399435,0.001231481704790196,0.0013387468779709252,0.04506333898442146,0.00631504432895836,0.0012204961405896646
GSEALD,0.5030534351145038,0.6469135802469136,0.0029802000924143692,0.00152054578517078,0.04794428837691033,0.006326245799643982,0.002939426000166208
GALKr,0.18931297709923664,0.5210819411296739,3.039128471836304e-05,0.0006341477266080288,0.017526591900858673,0.0061966002523392814,3.221362562223133e-05
ADEt2,0.23740458015267174,0.5231629392971247,0.0016511611792565405,0.000852379366456548,0.019936507043301455,0.006237586363126652,0.0016560639274785058
G3PD1ir,0.24732824427480915,0.5320877335499594,0.0014180774719287988,0.000851943805494581,0.020761320713353043,0.006244390298145324,0.0014852956609232267
GHMT2r,0.34045801526717556,0.5781112091791704,0.0006880601730810771,0.001041226141396439,0.038773627211856176,0.0062883426460917345,0.0006777332787200048
DB4PS,0.010687022900763359,0.43305785123966944,2.569105329771606e-05,0.00021081361586919257,0.0007049196123170995,0.00395286862736465,5.440729976775951e-05
GTPCII2,0.3877862595419847,0.5970829535095715,0.001390598816745313,0.0012044584591754672,0.04115578809263202,0.006302645906840246,0.0014058122195229582
GCALDD,0.4847328244274809,0.6387128230131643,0.005352554887363258,0.001530797073509871,0.04754656170858999,0.006323296389420728,0.005164361838536162
TRDR,0.23893129770992366,0.5301497369486038,4.485890149055806e-05,0.0007564289051766141,0.020359842363301427,0.006238933051834178,4.5959543979032214e-05
PPSC4,0.6068702290076335,0.6953290870488322,0.0029535850199638608,0.0017897688540331118,0.05201409935846823,0.0063399415601931115,0.002882306433947938
BGLA,0.32748091603053436,0.5728027984258854,0.00021085870762678832,0.000977702924754556,0.03838634915037438,0.006283743850024938,0.00020412319803181435
AGPGLCN,0.0061068702290076335,0.43291473892927956,1.8095211614050957e-05,0.00019642291288633952,0.0003348041192306807,0.0030190808714455767,4.525360718992974e-05
XYLK,0.1900763358778626,0.5212892956625547,0.0005297798639189528,0.000675720971574448,0.01747555874343374,0.006197322486164139,0.0005571921456664623
MYCOPP,0.05648854961832061,0.46240734204024003,0.00010587674275378422,0.0003195155675979729,0.0030502282775150013,0.005749278358773959,0.0001312989781357014
PUNP2,0.1450381679389313,0.5073586367157242,5.994621515045554e-05,0.0005129742174132924,0.0147273257075942,0.006135340416825736,6.52953602409868e-05
NDPK6,0.1900763358778626,0.520460866110449,3.8670199691952135e-06,0.0006343534131055328,0.017715709837654442,0.006197418381707974,3.905112047993037e-06
ALCD2yi,0.23587786259541985,0.5286521388216303,0.0004425274034600398,0.0007960471182985138,0.019931709028405478,0.0062367861090193745,0.00045442519854813524
ALCD19y,0.23893129770992366,0.5316558441558441,0.0007209606501220031,0.0008123476025058169,0.02013393076615052,0.00623887546922114,0.0007553742800521765
HADA13,0.3267175572519084,0.5723023154215815,8.16118551897089e-06,0.0009539494329301399,0.038429559480407334,0.006283469146489201,8.07822588992604e-06
UAGPT3,0.00916030534351145,0.3901131625967838,2.5011345529769613e-05,0.0002528431597412742,0.0001991473092148285,0.0036559798708871187,7.016292274958526e-05
Maintenance,0.4381679389312977,0.615890926187118,0.0003914035533465019,0.0012799282506528867,0.04497262299519856,0.006314420299757771,0.0003799124646233632
FADE8,0.5610687022900763,0.6717948717948717,0.0022802379027635046,0.0016548794449899277,0.050916042766972126,0.00633451083011026,0.002233079650594991
VALt2r,0.4396946564885496,0.6164705882352941,0.001183981746252989,0.0013340980849358417,0.04497940065855589,0.006314727943105644,0.0011717460322277628
DADNt2,0.23511450381679388,0.5225368966892701,0.0016402361375750143,0.0008516166437451883,0.01972270359380028,0.006235975115109466,0.001641110926827763
NP1,0.3603053435114504,0.5840392331698618,0.002032507552032295,0.0011366317974969434,0.032744616201158885,0.006294779846808153,0.0019871333331049007
KASB17,0.14732824427480917,0.48735119047619047,0.00012199185578256766,0.0005815887225031847,0.008935686080749378,0.006138156354939062,0.00012950499057232034
NADS2,0.5229007633587787,0.6514172053704624,0.002944377350387229,0.0015806608131180835,0.04821416995656842,0.006329312164541435,0.00294380463941555
FMNRx,0.23969465648854962,0.5301497369486038,8.184355738918436e-05,0.0007628356964668538,0.02041503258715896,0.006239465340820714,8.760972799697907e-05
MMAA42,0.3480916030534351,0.5793896505970809,0.001372209594661921,0.001128074332119654,0.03865204350968089,0.006290835249119538,0.0013494663022562661
LPPGS,0.0900763358778626,0.4848260547742413,8.753028421886844e-05,0.00040739258258809015,0.0065562164955862414,0.005979425271696746,9.709140775902886e-05
ADSL2r,0.009923664122137405,0.39151225343693963,1.1281820841078139e-05,0.00018066902886739583,0.0004227592963922234,0.003855724294362152,1.536683695474882e-05
ADSL1r,0.059541984732824425,0.4645390070921986,0.00013080493601381706,0.00031902818801364015,0.005029968747317269,0.005781313702534892,0.0001702105280059354
ETHA,0.009923664122137405,0.4553354188390685,5.132989867336729e-07,0.00015286627437162154,0.00080867878858141,0.0038824083416397768,5.692773753272956e-07
ACHBS,0.13129770992366413,0.4868078781122259,0.0010411916430307178,0.000641974936180358,0.007778156316755882,0.006105935084292013,0.0011145476536265275
COCO2,0.5442748091603054,0.6659888154550077,0.005280531650880633,0.0017561242041651756,0.048924173251582825,0.006332424322630956,0.0052418157855757454
MOAE1,0.004580152671755725,0.4388609715242881,0.0,0.00012772735542786857,0.0005368169144598194,0.00266922071230858,0.0
MYCO2,0.2366412213740458,0.5286521388216303,0.00012328221075350864,0.0007599799341161514,0.02001450470239163,0.006237342834151274,0.00012485861061571353
CPPPGO,0.4122137404580153,0.6045223811721273,0.002099173638765632,0.0013083743080274622,0.04084764763256112,0.006308737415158774,0.002070328023762379
CPPPGO2,0.14274809160305343,0.4939668174962293,0.0011867368898617209,0.0006773403035347066,0.008269025284055336,0.006128774668876725,0.0012797586951798661
SALSYN,0.024427480916030534,0.44152342433434444,6.198928770389953e-05,0.00027312270184110356,0.0010526403277197902,0.005050933554665223,9.643808098761471e-05
LYSabc_rev,0.44198473282442746,0.6179245283018868,0.0010626719838139906,0.001325874700144318,0.04505173034785861,0.0063152077992360625,0.0010356812178858817
GLUR,0.04045801526717557,0.46355272469922154,3.245641308171568e-06,0.00026761003964803127,0.002691200250258904,0.005523707386065379,3.288199081720318e-06
CYP1,0.4900763358778626,0.6415279138099902,0.002178435200333335,0.0014770206324436947,0.04759121785656042,0.006324150671403522,0.002119950633844825
IGPS,0.40381679389312974,0.6006419073819349,0.002226251680886288,0.0012635344356119332,0.04080710987747848,0.0063066829854609005,0.0021088791382321546
TDPDRE,0.0022900763358778627,0.38999702292348915,1.090022030980279e-08,0.00012085419477221626,0.00016140296443926347,0.0016843541874070177,1.0900220309802663e-08
FOLt,0.003816793893129771,0.3476645435244161,0.0015267175572519084,0.000257921635475572,0.00016697953310938128,0.002066553364815002,0.0015267175572519077
5OPRO,0.012977099236641221,0.44939965694682676,2.427648439850026e-07,0.00016866998523551658,0.0010482304942687288,0.004275552992020101,2.4276484398500284e-07
DHPS2,0.08549618320610687,0.4805575935436537,0.0005216531623834124,0.0004393388539110058,0.006224180486609268,0.005957455421692647,0.0006725781554763688
TREpts,0.028244274809160305,0.46322489391796323,0.0016145655390734015,0.00039455007660146895,0.0011819065931956251,0.0051758095643050315,0.001665286654615906
RNDR1,0.38244274809160306,0.5941043083900227,0.00027597725862508685,0.001120802355776367,0.041528191966295834,0.0063011637048057565,0.0002730924873560712
BiomassGrowth,0.7122137404580152,0.7481439177612793,0.037375714301909196,0.0029524108189019115,0.054243939647193914,0.006350156332365185,0.03736656415429993
HSST,0.1450381679389313,0.4915572232645403,0.00027102281324417263,0.0005544152038429968,0.012345819383094224,0.006134779978244151,0.00028111832096891715
BO9,0.5603053435114503,0.6714505381855459,0.0020945398232128337,0.001646177154016809,0.05091424404849208,0.006334412659625911,0.0020520067069949156
BO8,0.5603053435114503,0.6714505381855459,0.0020945398232128337,0.001646177154016809,0.05091424404849208,0.00633441265962593,0.0020520067069949156
PROP,0.45267175572519086,0.6220322886989553,0.0036479565411261967,0.0014298853928993453,0.04327979028998784,0.006317425766209727,0.003756331684819541
