,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
PRATPP,0.11450381679389313,8.473452835331306e-30,1.5401648806480774e+61,0.0006922455488455135,3.970964047378129e-06
HISTD,0.31603053435114503,8.473452835331306e-30,8.295560460811497e+114,0.0010566338112048008,0.0001897631227039695
NIabc_rev,0.1435114503816794,8.473452835331306e-30,7.601497961063582e+66,0.0007006908708163178,0.0006737977958126564
SAMOX,0.31679389312977096,8.473452835331306e-30,6.605003340493882e+59,0.0014555882768099327,0.0014932305500691613
AHCYSNS,0.0,0.0,0.0,0.00013375100571644895,0.0
FADE324,0.13740458015267176,8.473452835331306e-30,3.978295157961917e+66,0.0008010657126983447,2.3285463318672434e-05
ACCOAC,0.14961832061068703,8.473452835331306e-30,5.012788514305281e+86,0.0013697741425348412,0.0004853307721756185
GMAND,0.20916030534351146,8.473452835331306e-30,0.0006496422302439365,0.00016911934815637213,0.0008050816417289438
FABD3,0.20458015267175572,8.473452835331306e-30,8.914161009287622e+93,0.0018668203316315587,0.0031462021721306447
ATPS4r,0.5916030534351145,8.473452835331306e-30,2.7936948792547144e+111,0.007575469454621489,0.0013473423433496884
PYRt2,0.16717557251908396,8.473452835331306e-30,5.09452383796555e+59,0.0004803586967012189,0.0008380739425029587
NTPP1,0.11450381679389313,8.473452835331306e-30,1.9701333589080336e+66,0.00047874459972180626,7.708428520236908e-06
PTTPDIM,0.10916030534351145,8.473452835331306e-30,5.419246129698492e+70,0.0008092452491962343,6.873322746057435e-05
FABG3,0.10916030534351145,8.473452835331306e-30,5.212263635077202e+91,0.0007922016136783902,0.0007395761318767726
FABG1,0.10916030534351145,8.473452835331306e-30,5.212268508641428e+91,0.0007846459906376766,0.0007397955080254931
FABG6,0.10916030534351145,8.473452835331306e-30,5.21226357178405e+91,0.0007868283659116429,0.000739703888297513
FABG7,0.10916030534351145,8.473452835331306e-30,5.21226357178405e+91,0.000786338070110631,0.000739703888297513
FABG4,0.1099236641221374,8.473452835331306e-30,5.212263635077202e+91,0.0007921266852280746,9.179635706162156e-05
FABG5,0.1099236641221374,8.473452835331306e-30,5.212263635077202e+91,0.000792202968023241,9.181598638861903e-05
PDIMBT,0.0015267175572519084,8.473452835331306e-30,0.0,0.00016124661271298203,1.3015549800137968e-07
PPDIMAT,0.0015267175572519084,8.473452835331306e-30,0.0,0.00021294817135709087,1.3015549800137968e-07
FABG8,0.10916030534351145,8.473452835331306e-30,5.21226357178405e+91,0.0007863420275841433,0.000739703888297513
PDIMAT,0.0015267175572519084,8.473452835331306e-30,0.0,0.00021294817135709087,1.3015549800137968e-07
FAS40,0.0633587786259542,8.473452835331306e-30,9.22316426350261e+22,0.00023670203262955583,0.0007018550991583456
