Rv2270	GO:0005886
Rv0494	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv0515	GO:0003676;GO:0004519
Rv0502	GO:0008152;GO:0008415
Rv0500	GO:0005737;GO:0055114;GO:0006561;GO:0004735
Rv0507	GO:0005886;GO:0016021
Rv0509	GO:0005737;GO:0008883;GO:0055114;GO:0006779;GO:0004764;GO:0050661
Rv0512	GO:0046872;GO:0004655;GO:0006783
Rv0513	GO:0016021
Rv0517	GO:0016020;GO:0008415
Rv1359	GO:0016849;GO:0009190
Rv0526	GO:0045454;GO:0055114;GO:0016491;GO:0016209
Rv1541c	GO:0005886
Rv0528	GO:0016021
Rv0529	GO:0008535;GO:0016020
Rv0560c	GO:0008168;GO:0008152
Rv0534c	GO:0009234;GO:0005886;GO:0004659;GO:0016021
Rv1136	GO:0008152;GO:0016853
Rv0539	GO:0016757
Rv0547c	GO:0055114;GO:0016491
Rv0548c	GO:0008935;GO:0009234
Rv0567	GO:0008171
Rv0552	GO:0016810
Rv0553	GO:0009234;GO:0046872;GO:0016836
Rv0554	GO:0004601;GO:0055114
Rv0561c	GO:0055114;GO:0004497
Rv0556	GO:0016021
Rv0557	GO:0008654;GO:0016757;GO:0009405
Rv0562	GO:0016740;GO:0008299
Rv0564c	GO:0046167;GO:0046168;GO:0004367;GO:0047952;GO:0009331;GO:0055114;GO:0008654;GO:0051287
Rv0565c	GO:0050661;GO:0004499;GO:0055114;GO:0050660
Rv0571c	GO:0009116;GO:0016740;GO:0016787
Rv0575c	GO:0055114;GO:0004497
Rv0576	GO:0006355;GO:0006950;GO:0006350;GO:0003700;GO:0005622
Rv0586	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv0602c	GO:0005737;GO:0006355;GO:0006350;GO:0000156;GO:0000160;GO:0003677
Rv0601c	GO:0005886;GO:0007165;GO:0000155;GO:0000160;GO:0016021
Rv0618	GO:0017103;GO:0006012;GO:0008270;GO:0008108
Rv0619	GO:0017103;GO:0006012;GO:0008270;GO:0008108
Rv0625c	GO:0005886;GO:0016021
Rv0628c	GO:0005886;GO:0016021
Rv0636	GO:0016491;GO:0008152
Rv0640	GO:0005840;GO:0003735;GO:0006412;GO:0019843
Rv0630c	GO:0004003;GO:0003677;GO:0006281;GO:0004519;GO:0008854;GO:0005524
Rv0649	GO:0004314
Rv0659c	GO:0003677
Rv0634B	GO:0003735;GO:0006412;GO:0005840
Rv0638	GO:0016021;GO:0005886;GO:0009306;GO:0006605;GO:0055085;GO:0015450
Rv0639	GO:0031564;GO:0003711;GO:0006353;GO:0032968
Rv2272	GO:0005886;GO:0016021
Rv0643c	GO:0008610;GO:0008825
Rv0644c	GO:0008610;GO:0008825
Rv0647c	GO:0006468;GO:0004672;GO:0005524
Rv0700	GO:0003735;GO:0000049;GO:0006412;GO:0015935
Rv0646c	GO:0016787
Rv0650	GO:0016301
Rv0651	GO:0042254;GO:0003735;GO:0006412;GO:0005840
Rv0713	GO:0016021
Rv0652	GO:0003735;GO:0006412;GO:0005840
Rv0655	GO:0016887;GO:0006810;GO:0005524
Rv0667	GO:0003899;GO:0046677;GO:0032549;GO:0006351;GO:0003677
Rv0670	GO:0006281;GO:0008833;GO:0005622;GO:0008270;GO:0003677
Rv0677c	GO:0016021
Rv0714	GO:0019843;GO:0003735;GO:0006412;GO:0015934
Rv2091c	GO:0016021
Rv0673	GO:0016853;GO:0008152;GO:0004300
Rv0676c	GO:0005886;GO:0016021
Rv0680c	GO:0016021
Rv0681	GO:0006350;GO:0003700;GO:0006355
Rv0683	GO:0015935;GO:0003735;GO:0000049;GO:0006412;GO:0019843
