,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
psd5p[c],0.006147540983606557,0.32915994760727124,0.0,0.0004867317130817696,0.011467697151722297,0.0
gmhep1p[c],0.0020491803278688526,0.3289891875742917,0.0,0.00039632574240698896,0.008831376242295925,0.0
lys__L[c],0.031762295081967214,0.40295068312513166,0.0032861813685350675,0.001417152805906684,0.038053680781934024,0.0035957766495993476
L2aadp6sa[c],0.006147540983606557,0.30420387540276733,0.0,0.0004919896164763925,0.007831200965681264,0.0
tmha5[c],0.0030737704918032786,0.2802057842648938,0.0,0.00041737099906240753,0.0016306816999685579,0.0
tmha6[c],0.0030737704918032786,0.2802057842648938,0.0,0.0004226686494907335,0.0019345727040212396,0.0
ibcoa[c],0.010245901639344263,0.38481790238450075,0.00048821948780961765,0.0008004481261683986,0.021052985689623417,0.0005071004989442192
2mp2coa[c],0.0030737704918032786,0.27802935476055884,4.758583410945995e-06,0.00032257397933743736,0.0015813442018176094,7.356031946195881e-06
2mpdhl[c],0.010245901639344263,0.38516805516192065,7.947832530930329e-06,0.0009154680654828687,0.022333268223772792,5.041928440332237e-06
3mob[c],0.018442622950819672,0.30942959987057805,9.924241605859563e-05,0.0007780054224701876,0.011486773535482865,0.0001262858354520429
hdcaMAS[c],0.00819672131147541,0.27949798126309067,0.00016552151281121682,0.00044302301521599574,0.001437326815620077,0.0001416009044082815
hphthiocnylcoa[c],0.012295081967213115,0.3774406532527426,0.0015237218510965472,0.0004963425155491372,0.01844755784039644,0.0014692077976654417
mas[c],0.007172131147540984,0.3774406532527426,0.0005897107444445996,0.0004963425155491372,0.01844755784039644,0.0006121269440941572
pmtri[c],0.007172131147540984,0.3774406532527426,0.0001594330539212184,0.0004780724406867736,0.018761737287004705,0.0002721731820092476
pmtricoa[c],0.005122950819672132,0.3126290196624452,1.4701638677048514e-05,0.000516061001769963,0.0063045043146460365,1.0929170252940743e-05
2mbcoa[c],0.00819672131147541,0.3128600832394315,0.00014934117515714738,0.0007550223341178238,0.00732139260822091,0.0002140029934195163
2mb2coa[c],0.0030737704918032786,0.2781206916050925,4.521624398673579e-06,0.00033753436409996227,0.0011123518448165498,6.305170239596469e-06
2mbdhl[c],0.009221311475409836,0.38551884574039236,0.0001392089523006053,0.0010070314809882694,0.02174416958737249,0.00019861711643420123
3mop[c],0.009221311475409836,0.3035494389551458,3.13528818801672e-05,0.0007746695380578613,0.007969900359283907,2.883978498732597e-05
ppap[c],0.00819672131147541,0.35541535904529875,0.00011048235054130321,0.000978835168794896,0.016937804899177646,0.00019439023332465957
hepdp[c],0.004098360655737705,0.2715200080968254,3.926245837376122e-06,0.00039088046387814854,0.0006903457407714751,4.194228741252037e-06
hexdp[c],0.004098360655737705,0.2715200080968254,3.923217037971137e-06,0.0003635016896715602,0.0006903465838391807,4.553734061930783e-06
pendp[c],0.004098360655737705,0.2715200080968254,4.23847554995096e-06,0.0002991371125629497,0.0006903712592232577,4.728877679697352e-06
ggdp[c],0.006147540983606557,0.27143295455142724,0.0009612232030264818,0.0002953803245026609,0.0006910939644925806,0.0009615384615384616
gmhep17bp[c],0.004098360655737705,0.3086399508734603,1.908098337332073e-05,0.0003178824408929401,0.006658589815782908,4.273212367474663e-05
4hbz[c],0.006147540983606557,0.1716195794133188,9.004962740776108e-06,0.00021266827877644052,1.8263444117191933e-06,9.144686142636963e-06
4hbzACP[c],0.00819672131147541,0.3122830635359283,0.0002159056848781595,0.000463506160657532,0.008289835419903658,0.0002252942283183644
arachACP[c],0.010245901639344263,0.3146040078951697,0.0001310594312091245,0.0006395567528550086,0.008167543465511845,0.00012469742966874658
phdca[c],0.015368852459016395,0.3382338734502204,0.0019461407185977317,0.0013789780137994265,0.02259031379787749,0.0019304573271324316
prephth[c],0.014344262295081968,0.35842480323704556,0.00011777706852733975,0.0013921808331778922,0.03209798220633978,0.00015729177455232218
prephthcoa[c],0.014344262295081968,0.3405468162694697,9.71118395922039e-05,0.0014795272781624668,0.025361184482174434,9.402157875518532e-05
omtta[c],0.00819672131147541,0.37727245331813797,5.563728924384662e-06,0.0004515601148933396,0.017195972567711913,6.340198963149783e-06
