,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
G16MTM2,0.2198868229587712,1.2181554096671296e-29,1.9701301842751067,0.00023142528888454812,3.2304831155239725e-31,0.0001245226774693104
G3PAT160,0.0137429264349232,1.2181554096671296e-29,0.8958631701672047,0.00020836122955546237,4.002498315464949e-32,0.0007679575854833821
G3PAT190,0.012126111560226353,1.2181554096671296e-29,7.44810059376319e-08,0.00020428284346850895,4.908175974689401e-32,5.055018149132568e-05
GPDDA2,0.3468067906224737,1.2181554096671296e-29,9.597699712989588e+83,0.0005786374498526933,0.039462308222967445,0.001614405778101965
PGSA160,0.2198868229587712,1.2181554096671296e-29,0.0,0.00021323644236921022,4.5421485456137534e-32,5.131341812377624e-05
PGSA160190,0.2198868229587712,1.2181554096671296e-29,0.0,0.00021949139851372312,4.536388517914835e-32,5.131341812377624e-05
PGSA190,0.2198868229587712,1.2181554096671296e-29,0.0,0.00022679491362787404,4.543552057316003e-32,5.131341812377624e-05
PSD160,0.322554567502021,1.2181554096671296e-29,1.3324508197407022e+74,0.0011155481205081053,0.04259525227038527,6.672364135726593e-06
PSSA160,0.2166531932093775,1.2181554096671296e-29,0.0,0.00022241923817980182,1.2477236817625614e-32,5.094583815096738e-05
G3PD5,0.012126111560226353,1.2181554096671296e-29,1296962556048.6157,0.0001468509576705738,4.5967050175236625e-32,7.833129787293512e-05
G3PD1ir,0.6475343573160873,1.2181554096671296e-29,1.8599094188557513e+122,0.0019176509920612102,0.05175193860563298,0.005213976693590546
G3PT,0.14874696847210994,1.2181554096671296e-29,3.854581123502421e+63,0.0005827151490599184,0.035970852347942804,0.0014469891506373234
LIPW,0.4268391269199676,1.2181554096671296e-29,1.7324433902127347e+60,0.0016577315736954002,0.07856610461832807,0.0015036241508856137
CHOLK_1,0.45432497978981407,1.2181554096671296e-29,9.061435318581842e+145,0.0022395389341495647,0.01600272170405563,0.00040816027900639055
ACS,0.11560226354082458,1.2181554096671296e-29,8.201049971101372e+133,0.0012303131731496331,0.012321912848546817,2.915218613210395e-05
ALDD2x,0.35731608730800324,1.2181554096671296e-29,9.495974780377616e+118,0.0009877266975351785,0.036309693080736186,5.11952817206501e-05
ASAD,0.3427647534357316,1.2181554096671296e-29,1.2457221076897918e+128,0.0012091493396230106,0.04259525227038527,2.7487852811111795e-05
ASPK,0.03233629749393694,1.2181554096671296e-29,1.9174468527579716e+97,0.00034444530033633206,0.0015531780394486506,1.6754149617265845e-05
ENO,0.21180274858528697,1.2181554096671296e-29,0.0024199899014475464,0.0002426198153126916,2.436972645528972e-66,0.0025699461436757905
FBA,0.01131770412287793,1.2181554096671296e-29,0.007315401063308856,0.00012843331848547831,1.4844687111738599e-35,0.0074219502709959
FBP,0.14551333872271624,1.2181554096671296e-29,3.8607513596526205e+63,0.00057613253770553,0.035970852347942804,7.001467658976968e-05
GAPD,0.3678253839935327,1.2181554096671296e-29,6.30626312324779e+122,0.0028279624008311056,0.036966271090246014,0.008223058124926352
GCCa,0.3217461600646726,1.2181554096671296e-29,4.014612418299207e+119,0.0011505418611060247,0.04259525227038527,1.591090100960651e-05
GCCb,0.017784963621665317,1.2181554096671296e-29,6.300820785561842e+23,0.000434004217543281,1.835469060949595e-30,3.0916631114094186e-05
GHMT2r,0.2231204527081649,1.2181554096671296e-29,1.0323265661739192e+29,0.0003572510560598896,1.840415431754756e-30,0.00014315979234147622
GLYCK,0.24090541632983023,1.2181554096671296e-29,2.1428858653798393e+70,0.0004832207469423764,0.00504463391447329,9.474788593781136e-05
HEX1,0.2465642683912692,1.2181554096671296e-29,9.714234259482509e+76,0.0007384585430215054,0.0015531780394486506,0.00017541246942994322
HSDy,0.27566693613581245,1.2316904697745422e-29,0.0,0.0015889050966090277,0.01693707714468194,0.0
HSK,0.23848019401778495,1.2181554096671296e-29,2.7984897072551664e+20,0.00031536397077193304,0.0015531780394486506,6.390907757300306e-05
LDH_L,0.6588520614389652,1.2181554096671296e-29,3.7791479662073934e+118,0.002100176152206749,0.05209077933842636,0.004323575717425924
PDH,0.1544058205335489,1.2181554096671296e-29,2.9965946002466017e+88,0.001181476756061859,0.012194462834490764,2.9937960885068105e-05
PDHa,0.3338722716248989,1.2181554096671296e-29,4.495313051873287e+76,0.0013258421399037655,0.04293409300317865,6.43755302422584e-06
PDHbr,0.0824575586095392,1.2181554096671296e-29,1.0116751253853086e+83,0.000829157645378559,0.007277278934073528,1.9070901074466475e-05
PFK,0.24252223120452707,1.2181554096671296e-29,3.155761592628167e+101,0.000377468863330628,0.0015531780394486506,0.011170430457041197
PGCD,0.23848019401778495,1.2181554096671296e-29,2.369884146176433e+30,0.00037914244966065665,0.004578343167623852,5.018085707659989e-05
PGI,0.0064672594987873885,1.2181554096671296e-29,0.003973726942578792,0.0001856385947330172,3.580009811089128e-34,0.004036062982668214
PGK,0.2586903799514955,1.2181554096671296e-29,9.035233142468682e+141,0.001544179880338534,0.01600272170405563,0.003467488232905132
PGM,0.0024252223120452706,1.2181554096671296e-29,0.002439611441189013,0.00013573307644549462,4.879567138975923e-34,0.0025487873211605555
PGMT,0.010509296685529506,1.2181554096671296e-29,0.0007429978706264546,0.0009165267887299421,2.0704151402292125e-33,0.0008358198517699635
G6PP,0.34114793856103476,1.2181554096671296e-29,4.834899894053611e+121,0.002925310613992255,0.03238792792262216,0.008349074754290645
PSERT,0.04284559417946645,1.2181554096671296e-29,4.9062624022398255e+58,0.00039255368679628203,5.652986893201204e-31,0.00225509950940729
PSP_L,0.15198059822150364,1.2181554096671296e-29,3.0851185042453478e+60,0.0005916747221245182,0.035970852347942804,0.002964597321772029
PYK,0.5004042037186742,1.2181554096671296e-29,1.9445759703177976e+156,0.0023854532064394446,0.04259525227038527,0.06536685739347022
PYRDC,0.3362974939369442,1.2181554096671296e-29,1.3788932735180724e+74,0.0013258421399037655,0.04293409300317865,0.0014382339982977519
SERD_D,0.018593371059013743,1.2181554096671296e-29,1.5206312054591317e-08,0.00012726831333439016,4.133953797834814e-33,2.644033082793359e-05
THRS,0.14874696847210994,1.2181554096671296e-29,3.0851180905736906e+60,0.0005759446481203908,0.035970852347942804,0.0007452719316970223
TPI,0.008084074373484235,1.2181554096671296e-29,122.97353930125001,0.00015637475382182362,2.7813847767067268e-33,0.0007651118264669407
ALCD2ir,0.6410670978172999,1.2181554096671296e-29,2.0546935472157515e+129,0.0021466090110066013,0.05209077933842636,0.0016388084771852655
THRD,0.23767178658043653,1.2181554096671296e-29,1.0303634293070461e+29,0.00039382545652911875,0.004578343167623852,4.8110721268075144e-05
GLXO1,0.35812449474535163,1.2181554096671296e-29,5.68890826097688e+82,0.0008651532858452811,0.04295376409799208,0.0014804032081989378
GLYCTO1,0.01131770412287793,1.2181554096671296e-29,1.3481165642118638e+90,0.0001904721104136354,0.007625409672859453,0.00013494826065409696
GLYCTO2,0.008084074373484235,1.2181554096671296e-29,9.135232927274575e+44,0.00016461290293972566,0.0034914558750246388,5.483749155678321e-06
GLYCTO3,0.012126111560226353,1.2181554096671296e-29,3.1893113224063457e+62,0.00019870227002546367,0.0034914558750246388,0.00146995823674904
GLYCTO4,0.007275666936135812,1.2181554096671296e-29,4.663817194025276e+48,0.00017996114041256107,0.0034914558750246388,1.5893586634578007e-05
ICL,0.008892481810832659,1.2181554096671296e-29,0.0,0.00018418430800354367,3.7730738798678604e-65,1.5366862434501728e-05
OXACOAL,0.09781729991915925,1.2181554096671296e-29,5.90653809292606e+72,0.0008301731376045526,0.012321912848546817,1.2100436473267473e-05
OXCDC,0.3217461600646726,1.2181554096671296e-29,3.53972202437515e+76,0.0011526650912799879,0.04259525227038527,7.478021949878891e-06
PGLYCP,0.14470493128536782,1.2316904697745422e-29,0.0,0.0005749675325544419,0.035970852347942804,0.0
GCALDD,0.35812449474535163,1.2181554096671296e-29,6.930809953945313e+71,0.0009101817328690498,0.035970852347942804,0.003079577801442747
GLYDHDA_copy1,0.35974130962004847,1.2316904697745422e-29,0.0,0.0007756289578485767,0.035970852347942804,0.0
GLYDHDA_copy2,0.35974130962004847,1.2316904697745422e-29,0.0,0.0007756289578485767,0.035970852347942804,0.0
ATPPRT,0.025869037995149554,1.2181554096671296e-29,9.714843398810019e+26,0.00031651121579686655,0.0015531780394486506,8.207128453629052e-06
HISTD,0.35569927243330635,1.2181554096671296e-29,2.1469448870184754e+69,0.0007650988106518923,0.035970852347942804,7.922362388130667e-05
