,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
PROD2,0.20432043204320433,3.5249105398344624e-30,1453665881225911.2,0.0003700156912514132,0.0024425380180632316,0.00020217214794184145
PROabc,0.36813681368136814,3.5249105398344624e-30,4.578641489027324e+57,0.0010869520649360363,0.03275085724456841,0.0002799107782251056
PROt2r,0.2907290729072907,3.5249105398344624e-30,9.87046483264293e+45,0.0012708940151858277,0.053168174970631005,0.0013373432484173598
PRPPS,0.243024302430243,3.5249105398344624e-30,2.1080308046752195e+57,0.0007499847788745162,7.129703232780841e-14,0.00749741607225713
PSCVT,0.018901890189018902,3.5249105398344624e-30,29760152501868.98,0.00032054856935349494,9.562753559731953e-33,0.0039245209147957955
PSD160,0.2853285328532853,3.5249105398344624e-30,1.3679232075082717e+46,0.0011796797650430728,0.053168174970631005,2.1613214516438925e-05
PSD180,0.2844284428442844,3.542189513068945e-30,0.0,0.0011796797650430728,0.053168174970631005,0.0
PSERT,0.032403240324032405,3.5249105398344624e-30,1.8062757469801226e+46,0.0004932061743043995,0.0031406242101293764,9.414563024887914e-05
PSP_L,0.1413141314131413,3.5249105398344624e-30,1.7992576986992763e+67,0.0007536424042872364,0.03275085724449711,0.0042235300901626235
PSSA160,0.2007200720072007,3.5249105398344624e-30,0.0,0.0002803603274800639,2.2956981015570768e-32,0.00014304229410034
PSSA180,0.1998199819981998,3.542189513068945e-30,0.0,0.00019413670760203193,1.7846608356605625e-33,0.0
PTAr,0.2421242124212421,3.5249105398344624e-30,2.3678723699404564e+69,0.003992273155188792,0.050090956112733,0.010912074959712657
PTPATi,0.30873087308730873,3.5249105398344624e-30,4.128447595137746e+66,0.0015892062303519872,0.053168174970702295,4.515858008011714e-05
PUNP1,0.1251125112511251,3.5249105398344624e-30,3.135743287890479e+49,0.003412812262251039,0.047698474596008775,0.0007471610017854966
PUNP2,0.018001800180018002,3.5249105398344624e-30,3.948215086110595e-08,0.001647509784657473,0.003117570693816176,3.153424544422572e-05
PUNP3,0.1251125112511251,3.5249105398344624e-30,3.1354841853149655e+49,0.0035624081295183127,0.047698474596008775,8.452870594703248e-05
PUNP4,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
PUNP5,0.1386138613861386,3.5249105398344624e-30,2.499919824071731e+49,0.00455478411090707,0.047698474596008775,0.003173590316800996
PUNP6,0.13591359135913592,3.5249105398344624e-30,1.2499595041325197e+49,0.0033973310477724045,0.047698474596008775,0.0001667866125223312
PUNP7,0.13591359135913592,3.5249105398344624e-30,6.249797520662598e+48,0.004678835091499148,0.047698474596008775,8.388417397423271e-05
PYAM5PO,0.12961296129612962,3.542189513068945e-30,0.0,0.0007650608678515197,0.03275085724449711,0.0
PYDXNO,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
PYDXO,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
PYK,0.47254725472547254,3.5249105398344624e-30,3.4174920917675203e+75,0.0023948270797067277,0.05557648914831209,0.0008797537614766154
PYRDC,0.2988298829882988,3.5249105398344624e-30,8.086570026260489e+63,0.0014072168143125735,0.053274649082399074,2.5954161463637737e-05
PYRt2r,0.3015301530153015,3.5249105398344624e-30,3.1923032392695776e+59,0.0014072168143125735,0.053274649082399074,0.001494207987468059
QRr,0.54995499549955,3.5249105398344624e-30,8.00200172446167e+70,0.0029994511306449287,0.07533830368767094,0.009590945388355782
QULNS,0.1917191719171917,3.5249105398344624e-30,1.0572103882149232e+38,0.00019441495699346214,1.3526664971024245e-33,0.0003727290641556624
R05217,0.27992799279927993,3.559638722492931e-30,0.0,0.001236102637625169,0.053168174970631005,0.0
R05219,0.31863186318631864,3.542189513068945e-30,0.0,0.0007307714432813338,0.03275560812861219,0.0
R05224,0.38253825382538253,3.559638722492931e-30,6.347683230809059e-30,0.0020226161278769396,0.03512793876473363,3.0076363325600703e-06
RBFK,0.243024302430243,3.5249105398344624e-30,5.122971749785993e+37,0.0005936229750920942,3.1754354233695897e-06,0.00022114605938087882
RBFSa,0.1917191719171917,6.587116323300655e-31,0.0007257482505007258,0.00028721439170516016,0.0015888405239578931,0.0007257482505007258
RBFSb,0.0027002700270027003,3.62754347723932e-31,0.0,0.00017156282587092728,7.103570794865733e-05,0.0
RBK,0.2439243924392439,3.5249105398344624e-30,1.8176933955251686e+40,0.0006388486893566413,0.0014640507909398825,0.0002521494037989655
RBK_Dr,0.46264626462646263,3.5249105398344624e-30,3.423148945391751e+75,0.0023889672423452876,0.05557648914831209,0.0022159178159204666
RBK_L1r,0.0,0.0,0.0,0.00017040008742815003,0.0,0.0
RIBabc,0.3672367236723672,3.542189513068945e-30,0.0,0.0010097460956354919,0.03275085724456841,0.0
RNDR1,0.28802880288028804,3.5249105398344624e-30,6.899552189977892e+49,0.0016232434177515082,0.03255350727020432,0.0003539282263362954
RNDR2,0.19621962196219622,3.5249105398344624e-30,5.821763736745274e+45,0.0005189281598855378,0.0001746533584404173,0.0003541773980534728
RNDR3,0.18181818181818182,3.5249105398344624e-30,9.19571616183995e+26,0.00023869945619124736,0.0001746533584404173,0.0003540265147368374
RNDR4,0.1863186318631863,3.5249105398344624e-30,4.1838896727841825e+37,0.00039845795291110447,0.0001746533584404173,0.0003460635267115614
RNTR4,0.18001800180018002,3.5249105398344624e-30,9.98925834560896e-06,0.00035059523890700755,2.728846764292077e-31,0.0003447109795376117
RPE,0.008100810081008101,3.5249105398344624e-30,1.8212861155446645e+44,0.00038200789841091084,3.1871858603971654e-15,0.0002820790235722853
RPI,0.0036003600360036,3.5249105398344624e-30,6.81718948609611e-06,0.0002747138312187414,3.755097328401726e-33,3.26209423474346e-05
RPPDIMAS,0.2007200720072007,3.5249105398344624e-30,1.0947362718287679e-05,0.00025603097587035563,1.5053130944574661e-29,0.00022895196353757286
