,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
PDIMAT,0.0016313213703099511,3.703755510048228e-30,0.000687818357359257,0.00016225600923108532,6.489810751503777e-31,0.000687818357359257
NTD10,0.13213703099510604,3.6965881087084624e-30,4.1951663680369496e+46,0.0007525090733668695,0.03316408715943534,2.327387051049907e-05
PDX5POi,0.0,0.0,0.0,0.00015462527305683135,0.0,0.0
NTD11,0.13376835236541598,3.6965881087084624e-30,4.2127630594380286e+46,0.0006419334647184005,0.03316408715943534,3.5670895232140564e-05
PEAMNO,0.13295269168026103,3.6965881087084624e-30,1.723428678369178e+58,0.0007628323119801239,0.03467130363609276,0.0004885844499270243
PRASCSi,0.23409461663947798,3.6965881087084624e-30,2.860490989386985e+45,0.00042372622081661275,0.0008119906725090061,0.0011915959768220913
PRATPP,0.3246329526916803,3.6965881087084624e-30,1.0432694299701007e+45,0.0006509028883455607,0.03316408715943534,0.00017005054272640826
PEPCK_re,0.14274061990212072,3.6965881087084624e-30,7.776623782068353e+55,0.005031437786424978,0.017125484125812072,0.0074616303090183685
NTD2,0.13866231647634586,3.6965881087084624e-30,5.331100946485833e+46,0.0009850702868252758,0.03316408715943534,0.0036938333156708845
PFK,0.22512234910277326,3.6965881087084624e-30,2.716418823262186e+55,0.00042891112998852236,0.0008119906725090061,0.00018940825998318487
PRDX,0.2039151712887439,3.712385493788412e-30,0.0,0.0003761051110695,0.002740461788240375,0.0
PREPHACPH,0.3238172920065253,3.6965881087084624e-30,9.9934764294824e+44,0.0006181166675461029,0.03316408715943534,0.0007136063957890702
PFL,0.09787928221859707,3.6965881087084624e-30,6.702170159654387e+67,0.000926352955327704,0.006837390445996236,9.740346163921675e-05
NTD3,0.13213703099510604,3.712385493788412e-30,0.0,0.000616970149721927,0.03316408715943534,0.0
PGAMT,0.002446982055464927,3.6965881087084624e-30,5.048469731264152e-06,0.00032153352483733585,4.772462844516439e-33,1.1768975580501037e-05
PGCD,0.2234910277324633,3.6965881087084624e-30,2.6595955038372837e+75,0.0004966480885912507,0.021004275736256336,0.00014422152978798785
PGI,0.008156606851549756,3.6965881087084624e-30,0.0008516297890521874,0.00020301881567156318,2.222793283038561e-33,0.0009239261927754773
PREPPACPH,0.32218597063621535,3.6965881087084624e-30,9.9784582292192e+44,0.0006148219842701003,0.03316408715943534,0.00018096067885313977
PREPTHS,0.5489396411092986,3.6965881087084624e-30,6.30944293564456e+86,0.0011892864899735681,0.0455835520889039,0.0005385510420176076
PREPTHS2,0.5489396411092986,3.6965881087084624e-30,6.309442935642883e+86,0.0011962553111747622,0.0455835520889039,0.0005385510420176076
NTD4,0.1435562805872757,3.6965881087084624e-30,4.1951663709247296e+46,0.0006725271963778372,0.03316408715943534,0.00011929796709452963
PREPTTA,0.14274061990212072,3.6965881087084624e-30,1.0112148950598375e+45,0.0021921947676808206,0.006987298125242983,0.006672312855774699
PRFGS,0.36867862969004894,3.6965881087084624e-30,1.8496118690665286e+72,0.0008384033573274392,0.035099367284586534,0.0003437526470394359
PGK,0.24796084828711257,3.6965881087084624e-30,1.3380019991829708e+81,0.0018682078774229548,0.024557705025381234,0.0016644200381715328
PGL,0.31892332789559547,3.6965881087084624e-30,6.074817757212734e+53,0.0009050330942014629,0.033166992544110284,0.00014292745619088457
PGLS,0.200652528548124,3.712385493788412e-30,0.0,0.0001716006102846552,4.9829822196684264e-05,0.0
PGLYCP,0.13458401305057097,3.712385493788412e-30,0.0,0.0006148219842701003,0.03316408715943534,0.0
PRMICI,0.0016313213703099511,3.6965881087084624e-30,0.0007417492748468527,0.0006795666198600779,3.3342288767953485e-32,0.0010154437429313106
PROD2,0.20636215334420882,3.6965881087084624e-30,1.2292348227310946e+39,0.00031745246780000367,5.9118353946526336e-30,0.00019708137764400216
PROabc,0.3523654159869494,3.6965881087084624e-30,2.954126764923076e+55,0.0009029962463892387,0.03397607783194435,0.00022585067793171607
PGM,0.004078303425774878,3.6965881087084624e-30,1.101605097918634e-07,0.00016948894805358984,3.5257296396823254e-33,1.2406197114583437e-05
PGMT,0.011419249592169658,3.6965881087084624e-30,2.2969650705468452e+16,0.0011619189396255977,8.481894592378596e-33,0.00014866697017588843
NTD5,0.13458401305057097,3.6965881087084624e-30,4.203964718634432e+46,0.000721542932319822,0.03316408715943534,3.183510060697646e-05
PGPP160,0.13213703099510604,3.6965881087084624e-30,4.1951663680366616e+46,0.000615675800988678,0.03316408715943534,2.3736488609935716e-05
PGPP160190,0.13295269168026103,3.6965881087084624e-30,4.1951663680366616e+46,0.0006157009165049152,0.03316408715943534,0.0007273359322992573
PROt2r,0.2969004893964111,3.6965881087084624e-30,5.3585864406336655e+67,0.0011499899982811077,0.0455835520889039,0.000747615950450282
PRPPS,0.2300163132137031,3.6965881087084624e-30,7.130984134329848e+57,0.0005016563238048353,0.0008119906725090061,0.004615097443846099
PGPP190,0.13213703099510604,3.6965881087084624e-30,4.1951663680366626e+46,0.0006157305116772278,0.03316408715943534,2.3736488609935716e-05
NTD6,0.13295269168026103,3.712385493788412e-30,0.0,0.0006251944915483164,0.03316408715943534,0.0
PGPPT3,0.004078303425774878,3.6965881087084624e-30,4.960155841408317e-08,0.00015849594097035814,7.344328486580076e-31,8.16245131497408e-05
PSCVT,0.015497553017944535,3.6965881087084624e-30,1.7792616487032e+16,0.00031149732264756577,5.878180826559518e-33,0.0039898205362008405
PSD160,0.29200652528548127,3.6965881087084624e-30,6.489285713210015e+78,0.001072239886272335,0.0455835520889039,1.4672158642663328e-05
PSERT,0.03833605220228385,3.6965881087084624e-30,2.4967962521969975e+43,0.00037021429281037003,0.002569975728868515,0.002014557696595845
PGSA160,0.20554649265905384,3.6965881087084624e-30,941478.1336976715,0.00024696771203437087,0.0011232894526421856,0.00014674922490353137
PGSA160190,0.20554649265905384,3.6965881087084624e-30,941478.1336976715,0.0002542243333792362,0.0011232894526421856,0.00014674922490353137
NTD7,0.1802610114192496,3.6965881087084624e-30,1.4960684391252279e+78,0.001962124640627032,0.037131710444839906,0.0005679346150478522
PGSA190,0.20554649265905384,3.6965881087084624e-30,941478.1336976715,0.000262773998232509,0.0011232894526421856,0.00014674922490353137
PHDCATA,0.07504078303425775,3.6965881087084624e-30,8.81694309278155e+29,0.0007085281560488709,0.0067636821082894495,5.252423868564538e-05
